127.0.0.1 - - [02/Jan/2020:20:50:54 +0800] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:55 +0800] "GET /CMS_2.0/ HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/front/fff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/front_index.jsp HTTP/1.1" 200 42065
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/fonts/font-awesome/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/css/mobile-menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/js/jquery-2.1.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/js/mobile-menu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /img/c_13.jpg HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /img/n_48.jpg HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /img/n_13.jpg HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /img/v_18.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /img/n_23.jpg HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /img/n_4.jpg HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /img/p_33.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /img/p_9.jpg HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /img/n_45.jpg HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /img/p_34.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /img/n_46.jpg HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /img/n_47.jpg HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [02/Jan/2020:20:50:56 +0800] "GET /CMS_2.0/web_front/assets/img/right_add2.jpg HTTP/1.1" 304 -
